sh_学園アイドルマスター_the_2nd_period_hatsuboshi_idol_festival_1	2026-06-06	学園アイドルマスター The 2nd Period Hatsuboshi IDOL FESTIVAL	DAY1	横浜アリーナ	
sh_学園アイドルマスター_the_2nd_period_hatsuboshi_idol_festival_2	2026-06-07	学園アイドルマスター The 2nd Period Hatsuboshi IDOL FESTIVAL	DAY2	横浜アリーナ	
sh_学園アイドルマスター_live_tour_-標-_福井公演_1	2026-08-20	学園アイドルマスター LIVE TOUR -標- 福井公演	DAY1	フェニックス・プラザ エルピス 大ホール (福井)	
sh_学園アイドルマスター_live_tour_-標-_福井公演_2	2026-08-21	学園アイドルマスター LIVE TOUR -標- 福井公演	DAY2	フェニックス・プラザ エルピス 大ホール (福井)	
sh_学園アイドルマスター_live_tour_-標-_福岡公演_1	2026-09-05	学園アイドルマスター LIVE TOUR -標- 福岡公演	DAY1	福岡サンパレス ホテル&ホール	
sh_学園アイドルマスター_live_tour_-標-_福岡公演_2	2026-09-06	学園アイドルマスター LIVE TOUR -標- 福岡公演	DAY2	福岡サンパレス ホテル&ホール	
sh_学園アイドルマスター_live_tour_-標-_岩手公演_1	2026-09-22	学園アイドルマスター LIVE TOUR -標- 岩手公演	DAY1	トーサイクラシックホール岩手 (岩手県民会館) 大ホール	
sh_学園アイドルマスター_live_tour_-標-_岩手公演_2	2026-09-23	学園アイドルマスター LIVE TOUR -標- 岩手公演	DAY2	トーサイクラシックホール岩手 (岩手県民会館) 大ホール	
sh_学園アイドルマスター_live_tour_-標-_kアリーナ横浜公演_final_1	2026-11-07	学園アイドルマスター LIVE TOUR -標- Kアリーナ横浜公演 (FINAL)	DAY1	Kアリーナ横浜	
sh_学園アイドルマスター_live_tour_-標-_kアリーナ横浜公演_final_2	2026-11-08	学園アイドルマスター LIVE TOUR -標- Kアリーナ横浜公演 (FINAL)	DAY2	Kアリーナ横浜	
